id,sex,bdate,has_photo,has_mobile,followers_count,graduation,education_form,relation,education_status,langs,life_main,people_main,city,last_seen,occupation_type,occupation_name,career_start,career_end,result

67350,1,1.10.1972,1,1.0,125.0,1994.0,Full-time,4.0,Alumnus (Specialist),Русский,0,0,Petrozavodsk,2020-01-13 23:08:47,work,ПАО «ТГК-1»,2018,False,1
6860,2,17.5.1992,0,1.0,253.0,2019.0,Full-time,0.0,Alumnus (Bachelor's),False,1,2,Saint Petersburg,2020-12-09 09:30:08,work,585 Золотой,2017,False,0
15529,2,,0,1.0,330.0,2010.0,Distance Learning,0.0,PhD,Русский,0,0,,2020-04-19 20:09:32,,,False,False,0
56851,1,18.4.1990,0,1.0,137.0,2014.0,Full-time,4.0,Student (Bachelor's),Русский;Deutsch,1,2,Almaty,2020-11-09 18:18:58,university,КазНУ им. аль-Фараби (бывш. КазГУ им. Кирова),False,False,1
25237,2,26.12.1992,0,1.0,490.0,2019.0,Distance Learning,4.0,Alumnus (Bachelor's),Русский,1,2,Klin,2020-11-22 20:40:48,university,КФ ИГА,2014,False,0
11402,1,17.11.1962,0,1.0,63.0,1984.0,Full-time,0.0,Alumnus (Specialist),Русский,False,False,Samara,2020-09-11 05:20:00,university,"СГСПУ (бывш. ПГСГА, СамГПУ)",False,False,1
95673,1,,0,1.0,314.0,2013.0,,0.0,Alumnus (Specialist),Русский,0,0,Saint Petersburg,2020-04-29 07:18:06,university,ИНЖЭКОН,False,False,1
77300,2,22.8.1982,0,1.0,128.0,0.0,,7.0,Alumnus (Bachelor's),False,0,0,Severomorsk,2020-02-24 02:59:09,university,"МИЭ СПбУТУиЭ (бывш. САУ, СПбУУЭ)",False,False,0
66502,2,5.6.1989,1,1.0,172.0,2011.0,Full-time,4.0,Student (Specialist),Русский,0,0,Ufa,2020-05-16 02:06:02,university,БГАУ,False,False,0
64428,2,3.8.1978,1,1.0,35.0,2001.0,Full-time,4.0,Alumnus (Specialist),False,False,False,Veliky Novgorod,2020-03-30 21:34:27,university,НовГУ,False,False,0
87535,2,23.8.1987,1,1.0,427.0,2009.0,Full-time,4.0,PhD,Русский,6,1,Penza,2020-04-20 18:55:30,university,РГУИТП (ПФ),2008,2009,0
